near_earth,potentially_hazardous,absolute_magnitude_parameter,epoch,eccentricity,semi_major_axis,perihelion_distance,inclination,om,w,ma,ad,n,tp,per,per_y,moid_ld,sigma_i,sigma_w,class,rms
N,N,16.1,2459000.5,0.1605117578844978,3.074761476852657,2.581226107127502,10.19657755721131,105.3760760017676,254.2240321048586,228.7360018398647,3.568296846577812,0.1828045188264414,2459718.5566377835,1969.316745073418,5.39169540061168,622.8899352,6.2016e-06,4.6974e-05,MBA,0.62117
N,N,17.1,2459000.5,0.2276345716788293,2.864749164414048,2.212633215405372,2.347814166689749,204.5482410953487,235.0003556701456,124.3682934472603,3.516865113422724,0.20327041403132,2458388.663328933,1771.039832410294,4.84884279920683,478.3950059,6.3661e-06,0.00018465,MBA,0.51686
N,N,18.9,2459000.5,0.1886654444580622,2.317604804416868,1.880352863913419,1.41062718842394,168.9569420142162,124.9595948175673,311.944132522963,2.754856744920316,0.2793476358037626,2459172.52890348,1288.716831141877,3.52831439053218,336.52269323,1.0006e-05,0.00032716,MBA,0.57595
N,N,14.5,2459000.5,0.1252003640818705,2.74562982717862,2.401875973181813,10.14591146872952,146.2246621430193,279.5939707643719,271.5340181363036,3.089383681175426,0.2166412224696379,2459408.852486453,1661.733606818313,4.54957866343138,560.7667281,4.2803e-06,2.8045e-05,MBA,0.56988
N,N,16.5,2459000.5,0.1835679699359309,2.5425026805703,2.075780624941348,14.18751918739944,112.0396050615889,200.6452974056416,257.0783730433843,3.009224736199253,0.243115106023161,2459423.845256657,1480.780054719034,4.05415483838202,415.0303465,9.8517e-06,5.1621e-05,MBA,0.62627
N,N,17.3,2459000.5,0.08505470138245379,2.362081453512498,2.16117532084296,5.994146689036008,311.4291208692113,187.6921707101585,136.1045944922059,2.562987586182035,0.2714949585044817,2458499.184633991,1325.991473223092,3.6303667986943,457.1541073,7.7626e-06,7.1873e-05,MBA,0.55418
Y,N,25.9,2458440.5,0.4050125040262952,1.764458787533634,1.049830915743436,7.313330947793639,233.0654874584934,209.4182667009187,349.357902356684,2.479086659323831,0.4205201352296636,2458465.806987114,856.082669628623,2.34382661089288,31.36282113,0.036443,0.0070306,AMO,0.26735
N,N,16.3,2459000.5,0.2338652824032566,2.641295824927076,2.023588430919963,14.50848787833032,45.18077445184861,26.78808542444725,271.8899547505232,3.259003218934189,0.229603501353609,2459384.24870039,1567.920340402689,4.29273193813193,407.4415315,1.1525e-05,3.6522e-05,MBA,0.54269
N,N,18.3,2459000.5,0.1259080492851419,2.357459116722148,2.060636038066189,5.915338996964827,249.7364827046984,170.0502824108004,332.4569775089106,2.654282195378107,0.2722938415529439,2459101.6518377867,1322.101146125271,3.61971566358733,417.8090203,0.0039014,0.097629,MBA,0.50092
N,N,17.2,2459000.5,0.08579726898179492,2.854076134838798,2.609204197003512,2.52258942100793,40.15482562559685,328.7002190064743,195.4863605622166,3.098948072674085,0.2044116965538022,2459805.315195076,1761.151666314976,4.82177047587947,626.0655624,9.4047e-06,0.00017474,MBA,0.61276
N,N,17.05,2459000.5,0.06045670019798827,3.124333531721359,2.935446636075558,8.610809650211655,352.7555311521762,213.1332822400061,26.54722591518524,3.313220427367159,0.1784711364350467,2458851.7519926443,2017.132894377122,5.52260888262046,753.7716979,2.37e-05,0.000272,MBA,0.67602
N,N,16.708,2459000.5,0.2229681792933906,3.154730101748771,2.451325674799795,14.90063065215065,206.5170240680553,21.9805989083442,122.7631617519727,3.858134528697748,0.1758979424117,2458302.577329224,2046.641336812216,5.60339859496842,563.9345719,1.3781e-05,6.2259e-05,MBA,0.65337
N,N,15.2,2459000.5,0.1824879633938748,3.17458595202137,2.595262227018186,1.162584277608706,3.855927314948138,1.73987138159775,230.2333547060651,3.753909677024555,0.1742502615857345,2459745.214206527,2065.994029069926,5.65638337869932,620.1890954,6.5072e-06,0.00025574,MBA,0.58014
N,N,15.9,2459000.5,0.2130263423487271,2.44159971481193,1.921474658085849,2.117634308331774,191.8883890804835,143.4835253535417,192.9044923142559,2.961724771538011,0.2583404284912045,2459647.303555532,1393.510114164174,3.81522276294093,355.04056934,4.9293e-06,8.6542e-05,MBA,0.54697
